SchoolID,School Name, Total ,Bilingual,Sped,FRLunch
610212,Albany Park Multicultural Academy,282,0.262,0.17,0.936
610209,Alessandro Volta Elementary School,826,0.654,0.098,0.863
609836,Arthur E Canty Elementary School,825,0.221,0.12,0.479
610083,Daniel C Beard Elementary School,228,0.496,0.531,0.43
609901,Edgebrook Elementary School,509,0.071,0.102,0.124
610523,Edison Park Elementary School,545,0.081,0.162,0.169
610137,Ernst Prussing Elementary School,727,0.327,0.122,0.693
609874,Everett McKinley Dirksen Elementary School,936,0.565,0.109,0.644
610163,Frederick Stock Elementary School,229,0.127,0.454,0.105
609857,Grover Cleveland Elementary School,555,0.416,0.267,0.769
610182,Hannah G Solomon Elementary School,362,0.37,0.207,0.472
609972,Helge A Haugan Elementary School,891,0.641,0.132,0.844
609798,Hiram H Belding Elementary School,583,0.252,0.139,0.515
609912,James B Farnsworth Elementary School,585,0.386,0.263,0.561
609796,Jean Baptiste Beaubien Elementary School,1047,0.184,0.103,0.454
610089,John B Murphy Elementary School,543,0.33,0.147,0.685
610111,John Palmer Elementary School,758,0.385,0.143,0.723
609937,John W Garvy Elementary School,830,0.212,0.111,0.412
610159,Jonathan Y Scammon Elementary School,710,0.454,0.11,0.814
610127,Mary Gage Peterson Elementary School,888,0.386,0.124,0.65
609792,Newton Bateman Elementary School,948,0.325,0.136,0.753
609810,Norman A Bridge Elementary School,1112,0.303,0.127,0.606
610354,North River Elementary School,300,0.56,0.243,0.827
610099,Norwood Park Elementary School,442,0.075,0.097,0.163
610105,Oriole Park Elementary School,739,0.08,0.096,0.245
609988,Patrick Henry Elementary School,522,0.517,0.165,0.885
610145,Peter A Reinberg Elementary School,746,0.404,0.209,0.769
610135,Portage Park Elementary School,910,0.167,0.142,0.691
609995,Rufus M Hitch Elementary School,571,0.208,0.14,0.531
609794,Thomas A Edison Regional Gifted Center ES,265,0.004,0.042,0.064
610230,Wildwood IB World Magnet School,476,0.065,0.092,0.113
609884,William E Dever Elementary School,741,0.306,0.119,0.597
609994,William G Hibbard Elementary School,960,0.573,0.107,0.813
610104,William J Onahan Elementary School,662,0.112,0.134,0.295
609949,William P Gray Elementary School,1170,0.315,0.133,0.789
609804,Daniel Boone Elementary School,782,0.512,0.111,0.853
609859,DeWitt Clinton Elementary School,1152,0.574,0.069,0.852
609918,Eugene Field Elementary School,157,0.433,0.166,0.905
609779,George Armstrong International Studies ES,1360,0.419,0.112,0.823
610196,George B Swift Elementary Specialty School,682,0.472,0.161,0.71
610122,Helen Peirce International Studies ES,1048,0.189,0.112,0.555
610070,James B McPherson Elementary School,682,0.28,0.235,0.726
609866,John C Coonley Elementary School,1027,0.055,0.11,0.155
