SchoolID,SchoolName,Type,UNIONIZED,YEAR_CONT
400009,GLOBAL CITIZENSHIP,Charter,NO,
400011,LOCKE A,Charter,NO,
400017,ASPIRA - HAUGAN,Charter,YES,7/1/13
400021,CATALYST - CIRCLE ROCK,Charter,NO,
400023,CICS - AVALON/SOUTH SHORE,Charter,NO,
400024,CICS - BASIL,Charter,NO,
400025,CICS - BUCKTOWN,Charter,NO,
400026,CICS - LOOMIS,Charter,NO,
400027,CICS - IRVING PARK,Charter,NO,
400028,CICS - PRAIRIE,Charter,NO,
400029,CICS - WASHINGTON PARK,Charter,NO,
400030,CICS - WEST BELDEN,Charter,NO,
400031,CICS - WRIGHTWOOD,Charter,YES,10/1/09
400039,ERIE,Charter,NO,
400040,FRAZIER CHARTER,Charter,NO,
400043,HOPE LEARNING ACADEMY,Contract,NO,
400044,KIPP - ASCEND,Charter,NO,
400045,NKRUMAH,Charter,NO,
400046,LEARN - BUTLER,Charter,NO,
400047,LEARN - CAMPBELL,Charter,NO,
400048,LEARN - EXCEL,Charter,NO,
400049,LEGACY,Charter,NO,
400050,NAMASTE,Charter,YES,8/1/19
400060,AHS - PASSAGES,Charter,YES,8/1/17
400068,PLATO,Contract,NO,
400069,POLARIS,Charter,NO,
400071,PROVIDENCE ENGLEWOOD,Charter,NO,
400075,U OF C - DONOGHUE,Charter,NO,
400076,U OF C - NKO,Charter,NO,
400078,U OF C - WOODSON,Charter,NO,
400079,ACERO - ZIZUMBO,Charter,YES,7/1/14
400080,ACERO - TORRES,Charter,YES,7/1/14
400081,ACERO - DE LAS CASAS,Charter,YES,7/1/14
400082,ACERO - FUENTES,Charter,YES,7/1/14
400083,ACERO - PAZ,Charter,YES,7/1/14
400084,ACERO - TAMAYO,Charter,YES,7/1/14
400089,ACERO - MARQUEZ,Charter,YES,7/1/14
400092,CICS - BOND,Charter,NO,
400096,ROWE,Charter,NO,
400101,ACERO - CISNEROS,Charter,YES,7/1/14
400107,LEARN - SOUTH CHICAGO,Charter,NO,
400111,LEARN - PERKINS,Charter,NO,
400112,ACERO - IDAR,Charter,YES,7/1/14
400114,ACERO - SANTIAGO,Charter,YES,7/1/14
400116,MONTESSORI ENGLEWOOD,Charter,NO,
400120,ACERO - CLEMENTE,Charter,YES,7/1/14
400146,KIPP - ACADEMY,Charter,NO,
400151,LEARN - 7,Charter,NO,
400153,ACERO - BRIGHTON PARK,Charter,YES,7/1/14
400159,CHRISTOPHER HOUSE,Charter,NO,
400163,KIPP - BLOOM,Charter,NO,
400165,LEARN - MIDDLE,Charter,NO,
400168,GREAT LAKES,Charter,NO,
400178,MOVING EVEREST,Charter,NO,
