SchoolID,SchoolName,Network,SQRPpts,SQRPrat,Type
400033,CICS - LONGWOOD,Charter,3.2,Level 2+,C
400035,CHICAGO MATH & SCIENCE HS,Charter,4,Level 1+,C
400036,CHICAGO VIRTUAL,Charter,2.3,Level 2,C
400052,NOBLE - COMER,Charter,3.8,Level 2+,C
400061,PERSPECTIVES - LEADERSHIP HS,Charter,2.8,Level 2+,C
400064,PERSPECTIVES - JOSLIN HS,Charter,2.3,Level 2+,C
400066,PERSPECTIVES - MATH & SCI HS,Charter,2.6,Level 2+,C
400077,U OF C - WOODLAWN HS,Charter,4.1,Level 1,C
400115,CATALYST - MARIA,Charter,3.4,Level 1,C
400121,ACERO - DE LA CRUZ,Charter,3.8,Level 1,C
400162,INTRINSIC HS,Charter,3.8,Level 1+,C
400167,HORIZON - SOUTHWEST,Charter,2.9,Level 2+,C
400171,FOUNDATIONS,Charter,2.9,Level 2+,C
609716,KELVYN PARK HS,Network 4,2.7,Level 2,C
609720,LANE TECH HS,Network 4,4.8,Level 1+,C
609725,MORGAN PARK HS,Network 10,3.5,Level 2+,C
609726,BROOKS HS,Network 13,3.5,Level 1+,C
609728,ROOSEVELT HS,Network 1,2.4,Level 2,C
609734,TAFT HS,Network 1,4.2,Level 1,C
609746,KENWOOD HS,Network 9,4.3,Level 1+,C
609755,YOUNG HS,ISP,4.8,Level 1+,C
609780,MARINE LEADERSHIP AT AMES HS,ISP,3.7,Level 1,C
610391,LINDBLOM HS,Network 11,3.6,Level 1+,C
610524,ALCOTT HS,Network 4,4.1,Level 1,C
610529,OGDEN HS,Network 6,4.2,Level 1+,C
610564,DISNEY II HS,Network 1,4.2,Level 1+,C
400010,ACE TECH HS,Charter,2.4,Level 2,H
400013,ASPIRA - EARLY COLLEGE HS,Charter,3.4,Level 2+,H
400022,CHIARTS HS,Contract,4,Level 1+,H
400032,CICS - ELLISON HS,Charter,2.8,Level 2,H
400034,CICS - NORTHTOWN HS,Charter,4.3,Level 1+,H
400051,NOBLE - NOBLE HS,Charter,4.6,Level 1+,H
400053,NOBLE - GOLDER HS,Charter,4.2,Level 1+,H
400054,NOBLE - PRITZKER HS,Charter,4.7,Level 1+,H
400055,NOBLE - RAUNER HS,Charter,4.3,Level 1+,H
400056,NOBLE - ROWE CLARK HS,Charter,3.2,Level 2+,H
400057,NOBLE - UIC HS,Charter,4.6,Level 1+,H
400058,NORTH LAWNDALE - CHRISTIANA HS,Charter,2.9,Level 2,H
400059,NORTH LAWNDALE - COLLINS HS,Charter,2.9,Level 2,H
400062,PERSPECTIVES - TECH HS,Charter,3.7,Level 1,H
400085,ACERO - GARCIA HS,Charter,4,Level 1+,H
400086,URBAN PREP - ENGLEWOOD HS,Charter,2.9,Level 2,H
400087,YOUNG WOMENS HS,Charter,3.3,Level 2+,H
400091,CHICAGO TECH HS,Contract,3.3,Level 2+,H
400094,EPIC HS,Charter,3.8,Level 1,H
400097,NOBLE - BULLS HS,Charter,4.2,Level 1+,H
400098,NOBLE - MUCHIN HS,Charter,4.7,Level 1+,H
400102,URBAN PREP - WEST HS,Charter,2.4,Level 2,H
400104,INSTITUTO - HEALTH,Charter,3.5,Level 1,H
400105,URBAN PREP - BRONZEVILLE HS,Charter,2.9,Level 2,H
400106,NOBLE - JOHNSON HS,Charter,3.2,Level 2+,H
400113,CICS - CHICAGOQUEST HS,Charter,3.4,Level 2+,H
400117,NOBLE - HANSBERRY HS,Charter,3.6,Level 1,H
400118,NOBLE - DRW HS,Charter,3.2,Level 2+,H
400119,LEGAL PREP HS,Charter,3,Level 2+,H
400149,ACERO - SOTO HS,Charter,3.3,Level 2+,H
400156,NOBLE - BUTLER HS,Charter,3.3,Level 2+,H
400157,NOBLE - BAKER HS,Charter,3.4,Level 2+,H
400169,NOBLE - ITW SPEER HS,Charter,4.6,Level 1+,H
400170,NOBLE - ACADEMY HS,Charter,4.5,Level 1+,H
400172,ASPIRA - BUSINESS & FINANCE HS,Charter,3.6,Level 1,H
400179,NOBLE - MANSUETO HS,Charter,4.4,Level 1+,H
609674,CHICAGO VOCATIONAL HS,Network 12,2.7,Level 2,H
609676,DUNBAR HS,Network 9,2.7,Level 2,H
609678,JONES HS,ISP,4.8,Level 1+,H
609679,PROSSER HS,Network 3,4,Level 1+,H
609680,PAYTON HS,ISP,4.8,Level 1+,H
609682,RICHARDS HS,Network 8,2.1,Level 2,H
609691,NORTH-GRAND HS,Network 5,3.5,Level 1,H
609692,SIMEON HS,ISP,3.5,Level 1,H
609693,WESTINGHOUSE HS,Network 5,4.5,Level 1+,H
609694,HANCOCK HS,Network 8,4,Level 1+,H
609695,AMUNDSEN HS,ISP,4.1,Level 1+,H
609698,BOGAN HS,Network 10,2.9,Level 2,H
609704,FARRAGUT HS,Network 7,3.1,Level 2+,H
609705,FENGER HS,Network 13,2.8,Level 2,H
609707,ROBESON HS,Network 11,2.4,Level 2,H
609708,FOREMAN HS,Network 3,2.8,Level 2,H
609709,GAGE PARK HS,Network 8,3.2,Level 2+,H
609710,HARLAN HS,Network 12,2.1,Level 2,H
609711,HARPER HS,Network 11,2.5,Level 2,H
609712,HIRSCH HS,Network 12,2.3,Level 2,H
609713,HYDE PARK HS,Network 9,3,Level 2+,H
609715,KELLY HS,Network 8,3.1,Level 2+,H
609718,KENNEDY HS,Network 10,3.4,Level 2+,H
609719,LAKE VIEW HS,Network 2,3.8,Level 1,H
609722,MANLEY HS,Network 5,1.9,Level 3,H
609723,MARSHALL HS,Network 5,2.1,Level 2,H
609724,MATHER HS,Network 2,3.5,Level 1,H
609727,PHILLIPS HS,AUSL,2.6,Level 2,H
609729,SCHURZ HS,Network 1,2.6,Level 2,H
609730,SENN HS,Network 2,3.7,Level 1,H
609732,STEINMETZ HS,Network 3,3,Level 2+,H
609733,SULLIVAN HS,Network 2,2.9,Level 2,H
609735,TILDEN HS,Network 8,2.3,Level 2,H
609737,VON STEUBEN HS,Network 1,4.5,Level 1+,H
609738,LINCOLN PARK HS,ISP,4.2,Level 1+,H
609739,WASHINGTON HS,Network 13,3.5,Level 1,H
609740,WELLS HS,ISP,3.1,Level 2+,H
609741,HUBBARD HS,Network 10,3.6,Level 1,H
609744,NORTHSIDE LEARNING HS,Network 1,3.2,Inability to Rate,H
609745,SOUTHSIDE HS,ISP,2.8,Inability to Rate,H
609749,NORTHSIDE PREP HS,Network 1,4.7,Level 1+,H
609751,KING HS,Network 9,4.2,Level 1+,H
609753,CHICAGO AGRICULTURE HS,ISP,4.4,Level 1+,H
609754,CHICAGO MILITARY HS,Network 6,3.8,Level 1,H
609756,CURIE HS,Network 8,3.2,Level 2+,H
609759,CLEMENTE HS,Network 5,2.8,Level 2,H
609760,CARVER MILITARY HS,Network 6,4.1,Level 1+,H
609761,CORLISS HS,Network 13,2.4,Level 2,H
609762,JULIAN HS,Network 13,2.8,Level 2,H
609764,JUAREZ HS,ISP,3.1,Level 2+,H
609766,VAUGHN HS,Network 1,3,Inability to Rate,H
609768,HOPE HS,Network 11,2.5,Level 2,H
609769,GRAHAM HS,Network 6,3.3,Inability to Rate,H
610244,CLARK HS,Network 3,3.4,Level 2+,H
610245,DOUGLASS HS,Network 3,2.1,Level 2,H
610304,PHOENIX MILITARY HS,Network 6,4.5,Level 1+,H
610323,BOWEN HS,Network 12,2.7,Level 2,H
610334,RABY HS,Network 5,2.6,Level 2,H
610340,CHICAGO ACADEMY HS,AUSL,3.9,Level 1,H
